name,memory,os,image,prezzo
Huawei Mate 70,12 GB RAM,HarmonyOS / HarmonyOS Next,899,https://placehold.co/200x200?text=Mate+70
Huawei Mate 70 Pro,12 GB RAM,HarmonyOS,1099,https://placehold.co/200x200?text=Mate+70+Pro
Huawei Mate 70 Pro+,16 GB RAM,HarmonyOS Next,1299,https://placehold.co/200x200?text=Mate+70+Pro+
Huawei Mate 70 RS Ultimate,16 GB RAM,HarmonyOS Next,1699,https://placehold.co/200x200?text=Mate+70+RS
Huawei Pura 80 Ultra,16 GB RAM,EMUI 15.0,1499,https://placehold.co/200x200?text=Pura+80+Ultra
Huawei Pura 80 Pro Plus,16 GB RAM,HarmonyOS 5.1,1199,https://placehold.co/200x200?text=Pura+80+Pro+Plus
Huawei Pura 80 Pro,12 GB RAM,EMUI 15.0,999,https://placehold.co/200x200?text=Pura+80+Pro
Huawei Mate 60 Pro,12 GB RAM,HarmonyOS 4,799,https://placehold.co/200x200?text=Mate+60+Pro
Huawei Mate 60 Pro+,16 GB RAM,HarmonyOS 4,999,https://placehold.co/200x200?text=Mate+60+Pro+
Huawei Mate 60 RS,16 GB RAM,HarmonyOS 4,1499,https://placehold.co/200x200?text=Mate+60+RS
